Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3993465249890; -0.03; 0.05; 0.05; 0.01; 0.01; 0.00;
3993482012608; -0.03; 0.05; 0.05; 0.01; 0.01; 0.00;
3993498652589; -0.02; 0.05; 0.05; 0.01; 0.01; 0.00;
3993532027918; -0.02; 0.05; 0.05; 0.01; 0.01; 0.00;
3993548673886; -0.02; 0.04; 0.06; 0.01; 0.01; 0.00;
3993565283931; -0.02; 0.04; 0.06; 0.01; 0.01; 0.01;
3993581920491; -0.02; 0.05; 0.05; 0.01; 0.01; 0.01;
3993598587415; -0.02; 0.05; 0.05; 0.01; 0.01; 0.01;
3993615226540; -0.01; 0.05; 0.05; 0.01; 0.01; 0.01;
3993631992251; -0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993665277773; -0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993681920748; -0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993698565861; -0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993715257160; -0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993731879180; -0.00; 0.06; 0.04; 0.01; 0.01; 0.00;
3993748472119; -0.00; 0.06; 0.04; 0.01; 0.01; 0.00;
3993765588506; -0.00; 0.06; 0.04; 0.01; 0.01; 0.00;
3993798528056; 0.00; 0.06; 0.04; 0.01; 0.01; 0.00;
3993815144089; 0.00; 0.06; 0.04; 0.01; 0.01; 0.00;
3993831873877; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993848565604; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993865125187; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993881947348; 0.01; 0.06; 0.04; 0.01; 0.01; 0.00;
3993898757535; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993931988317; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993948587243; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
3993965160511; 0.01; 0.06; 0.05; 0.01; 0.01; 0.00;
